product,review_text,cleaned_text,sentiment_score
Asana,The mobile app crashes often.,mobile app crash often,0.0
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Integrations are missing.,integration miss,-0.296
ClickUp,Customer support never responds.,customer support never respond,0.4019
Trello,The mobile app crashes often.,mobile app crash often,0.0
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Integrations are missing.,integration miss,-0.296
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Integrations are missing.,integration miss,-0.296
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Integrations are missing.,integration miss,-0.296
Asana,Customer support never responds.,customer support never respond,0.4019
Asana,Pricing is too high for the value.,pricing high value,0.34
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Customer support never responds.,customer support never respond,0.4019
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,Pricing is too high for the value.,pricing high value,0.34
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Integrations are missing.,integration miss,-0.296
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Integrations are missing.,integration miss,-0.296
Trello,Pricing is too high for the value.,pricing high value,0.34
Trello,Customer support never responds.,customer support never respond,0.4019
Trello,Integrations are missing.,integration miss,-0.296
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Integrations are missing.,integration miss,-0.296
Asana,Integrations are missing.,integration miss,-0.296
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,The mobile app crashes often.,mobile app crash often,0.0
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Customer support never responds.,customer support never respond,0.4019
ClickUp,Customer support never responds.,customer support never respond,0.4019
ClickUp,Integrations are missing.,integration miss,-0.296
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Integrations are missing.,integration miss,-0.296
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Pricing is too high for the value.,pricing high value,0.34
Asana,Integrations are missing.,integration miss,-0.296
ClickUp,Customer support never responds.,customer support never respond,0.4019
Trello,Integrations are missing.,integration miss,-0.296
Trello,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,Pricing is too high for the value.,pricing high value,0.34
Asana,Integrations are missing.,integration miss,-0.296
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Asana,Pricing is too high for the value.,pricing high value,0.34
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,Integrations are missing.,integration miss,-0.296
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,The mobile app crashes often.,mobile app crash often,0.0
Asana,Customer support never responds.,customer support never respond,0.4019
Asana,Customer support never responds.,customer support never respond,0.4019
ClickUp,Customer support never responds.,customer support never respond,0.4019
Trello,Pricing is too high for the value.,pricing high value,0.34
Asana,Customer support never responds.,customer support never respond,0.4019
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Asana,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Customer support never responds.,customer support never respond,0.4019
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Pricing is too high for the value.,pricing high value,0.34
Asana,The mobile app crashes often.,mobile app crash often,0.0
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,The mobile app crashes often.,mobile app crash often,0.0
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Customer support never responds.,customer support never respond,0.4019
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Pricing is too high for the value.,pricing high value,0.34
Trello,Customer support never responds.,customer support never respond,0.4019
Asana,Customer support never responds.,customer support never respond,0.4019
ClickUp,Customer support never responds.,customer support never respond,0.4019
Trello,Integrations are missing.,integration miss,-0.296
Asana,Pricing is too high for the value.,pricing high value,0.34
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,Customer support never responds.,customer support never respond,0.4019
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Pricing is too high for the value.,pricing high value,0.34
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,The mobile app crashes often.,mobile app crash often,0.0
Trello,The mobile app crashes often.,mobile app crash often,0.0
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Integrations are missing.,integration miss,-0.296
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,Integrations are missing.,integration miss,-0.296
Trello,Pricing is too high for the value.,pricing high value,0.34
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Asana,Integrations are missing.,integration miss,-0.296
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,Pricing is too high for the value.,pricing high value,0.34
Asana,Pricing is too high for the value.,pricing high value,0.34
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Integrations are missing.,integration miss,-0.296
Trello,Customer support never responds.,customer support never respond,0.4019
Trello,Integrations are missing.,integration miss,-0.296
Trello,The mobile app crashes often.,mobile app crash often,0.0
Trello,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Integrations are missing.,integration miss,-0.296
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Customer support never responds.,customer support never respond,0.4019
Trello,Pricing is too high for the value.,pricing high value,0.34
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,The mobile app crashes often.,mobile app crash often,0.0
Trello,Customer support never responds.,customer support never respond,0.4019
Asana,Integrations are missing.,integration miss,-0.296
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,Integrations are missing.,integration miss,-0.296
Asana,Integrations are missing.,integration miss,-0.296
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,The mobile app crashes often.,mobile app crash often,0.0
Trello,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
Asana,The mobile app crashes often.,mobile app crash often,0.0
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,Customer support never responds.,customer support never respond,0.4019
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Integrations are missing.,integration miss,-0.296
ClickUp,Integrations are missing.,integration miss,-0.296
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,Integrations are missing.,integration miss,-0.296
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,Integrations are missing.,integration miss,-0.296
Trello,The mobile app crashes often.,mobile app crash often,0.0
Asana,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,Integrations are missing.,integration miss,-0.296
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Integrations are missing.,integration miss,-0.296
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
Trello,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Integrations are missing.,integration miss,-0.296
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Asana,The mobile app crashes often.,mobile app crash often,0.0
Asana,Pricing is too high for the value.,pricing high value,0.34
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,The mobile app crashes often.,mobile app crash often,0.0
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Asana,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
ClickUp,Customer support never responds.,customer support never respond,0.4019
ClickUp,Pricing is too high for the value.,pricing high value,0.34
Trello,Customer support never responds.,customer support never respond,0.4019
ClickUp,Integrations are missing.,integration miss,-0.296
Trello,Billing is confusing and unclear.,billing confusing unclear,-0.4404
ClickUp,The mobile app crashes often.,mobile app crash often,0.0
Asana,The UI looks good but loads slowly.,ui look good load slowly,0.2382
Trello,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Support team was helpful and quick.,support team helpful quick,0.6705
ClickUp,Pricing is too high for the value.,pricing high value,0.34
ClickUp,Integrations are missing.,integration miss,-0.296
